,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116
103515,23603,21521,25225,28475,5844,6497,32764,32321,4693,4193,6937,9082,16695,11803,9229,8956,6378,8757,13157,16550,2078,2204,21352,15296,5588,6424,6083,5062,13649,12384,10275,10200,14844,16772,3567,2406,6855,7100,7096,8391,1587,1769,13960,12871,9942,10162,14386,15098,8212,8928,20868,14045,6354,6159,17780,18347,25180,23049,10270,9896,17996,8975,9239,13900,8480,11816,24547,22748,8995,4785,6899,7178,7942,8504,2285,2188,8636,8320,1584,1423,16146,19921,5778,4888,32850,29580,3531,4107,21864,22473,16471,16244,8759,9134,897,1106,8040,6168,13174,13236,3174,2116,12639,13158,6396,5448,779,580,109,953,3709,2385,1277,1764,1263,147
103818,25120,21679,24103,25154,5968,6041,33736,34682,5217,4162,6906,8422,17776,13097,10375,8235,6769,8770,11574,13725,2238,2117,18806,15092,5146,6022,5619,4342,13634,13324,10597,10134,14415,16781,3649,2433,7045,7034,7633,8126,1712,1882,15925,13504,11063,10315,15915,16168,9085,9525,21175,14009,6618,6611,17701,19172,26670,23374,11993,10300,17768,9219,9131,13682,8382,12986,22926,21794,8108,5331,7646,7395,7871,8510,2285,2188,8687,8340,1585,1794,17095,21053,7420,5472,32671,30038,4559,4891,18634,21717,17360,16037,8860,8688,786,810,7425,5657,12700,13104,2966,2718,12816,15320,6600,5576,532,422,175,963,3573,2130,1025,1895,1359,308
104012,22704,21328,23528,26032,5438,5516,31784,31550,5038,3792,7471,9952,18525,13250,10323,9936,7098,9426,15049,16260,1693,1789,20434,14831,4892,6398,4542,4401,13594,13072,10633,9926,14802,15927,3666,2578,6794,7148,6901,8532,1709,1909,14515,13444,10959,10748,15756,16853,8548,8989,19856,13641,6553,6315,15786,17559,26101,24345,12974,11771,17047,8577,9428,13786,7638,11203,25236,22538,9749,5581,7423,7072,7942,8510,2285,2188,8661,8175,1741,1812,17683,21378,8906,7557,34443,30637,4379,5328,19274,20959,16187,17114,9065,9572,688,1020,6421,5009,12428,12887,3229,2722,12619,15358,6641,5250,367,520,286,1153,3825,2441,1262,1805,1324,441
104416,23575,21385,23596,25202,6352,5733,30656,31311,5714,4970,6884,8431,14823,10156,9356,7883,7054,9137,11852,14921,2153,2081,17954,14803,4983,5903,5182,4229,13381,12300,10649,10221,14542,16314,3683,2568,6975,7318,7242,8368,1717,1847,14572,13624,10242,10455,14585,15480,8118,8626,22639,13918,6203,6037,16764,17801,23615,22678,11515,10649,18256,9403,8940,14166,8464,12945,23108,20445,7053,4930,7652,7380,7933,8510,2285,2188,8687,8166,1797,1842,17806,22097,8882,6913,34490,31181,4945,5363,18522,21091,16539,15505,10004,11104,769,913,7060,5214,12715,13067,3164,2833,12772,15115,6572,4992,516,393,239,841,3318,2329,1535,1903,1153,247
104820,21847,21339,22334,26534,5112,4993,31020,30993,4448,3743,6593,8984,16235,12164,8886,7869,6887,9643,13350,15576,1611,2077,19568,14156,5033,6156,5022,4285,13437,11594,9978,9975,14763,16308,3523,2506,6815,6853,7176,8279,1682,1825,14621,13218,10757,10355,14324,15415,8368,8619,19531,11830,5937,5031,17216,18557,23896,23763,11764,10737,18490,9297,9203,14960,8065,9978,24766,21890,8653,4961,7567,7565,7929,8510,2285,2188,8623,8238,1336,1393,16068,20749,7240,5663,31260,28584,4528,4176,19068,21788,15487,16154,9545,9030,631,881,6897,5098,12668,13069,3057,2520,12621,15754,5580,5337,425,424,193,808,3198,2254,1325,1840,1187,267
105014,23384,21991,24989,25668,6506,6697,33335,33634,6463,6476,6497,8830,16620,12743,10259,9289,6480,8897,13127,17224,1968,2014,18483,14743,5043,6324,5609,4809,13207,11941,10546,10197,14364,16818,3650,2611,7315,7106,6444,8049,1719,1813,15690,13644,10780,10557,15003,15800,8694,9679,23066,15518,6873,6800,15134,17558,24538,22889,10358,8570,17596,9241,8757,13919,8504,12569,24046,22033,8497,5599,7368,7330,7922,8510,2285,2188,8621,8197,1593,1700,17323,21704,6490,5195,34429,30951,3460,3700,18101,21178,16331,15644,6865,7587,967,1198,7500,5618,12735,12849,3045,2181,13536,14034,6546,5954,706,481,283,1103,3758,2637,1271,1800,1346,629
105115,21891,21336,23508,25472,5539,5397,31602,31634,4782,4060,6487,9038,14255,11145,8361,7672,6085,8636,14988,16767,1931,1679,19296,13672,5110,6071,4892,4442,12537,11918,9488,9616,14628,16057,3580,2321,6261,5950,6049,7017,1470,1624,14705,12193,10681,10804,15181,16446,8601,9647,22281,15006,6472,6216,17100,18253,22875,23597,12171,12382,18056,9748,8069,13249,8933,13282,24300,22715,9165,5797,5432,3594,7941,8501,2285,2188,8373,7481,1546,1376,16273,20484,6467,4943,34689,32299,4125,4986,21994,24335,17385,17490,7635,7954,865,1060,7873,6238,13320,13529,2497,1522,10480,11139,6727,6242,830,859,138,1013,3986,2615,1476,1511,1329,651
105216,21713,19589,22613,25964,5649,5324,31272,32342,5162,4899,6529,8200,16691,12081,10455,9951,6166,7963,12264,14752,2003,1756,19563,14802,4815,5615,5324,4483,12174,11058,9419,9440,13076,15730,3349,2230,7037,6799,6849,8378,1615,1734,15171,12679,10092,9313,15163,16011,7127,8164,18132,12474,5401,6088,16483,17539,22094,21511,10854,9290,16315,8068,8226,12781,8258,11187,23799,21578,7956,5185,6653,7085,7921,8497,2285,2178,8269,8218,1605,1672,16353,19742,6808,5108,31150,27542,3515,3862,18460,19250,16928,15443,8452,8439,753,970,7222,5761,12636,12753,3199,2298,12780,15020,6079,5013,413,366,189,889,3633,2292,1290,1834,1251,237
105620,21041,20475,22903,25994,5744,6078,29825,30641,4193,3461,6463,8388,15876,11993,9476,8318,6825,9296,13729,14659,1643,2054,18613,14809,5113,6092,5237,5122,13578,12186,10171,9857,13886,15407,3242,2415,6944,6350,7117,8457,1713,1810,15432,13202,10512,9396,15145,16232,7919,9143,21154,14528,5935,6099,16603,16850,21006,22538,9101,8472,15771,8485,8467,13021,7943,12252,23586,21343,8213,5100,6942,7135,7921,8510,2285,2188,8333,8041,1657,1745,16547,20491,7882,5966,33220,30143,4335,4743,19017,21155,14560,13851,7921,6791,824,995,7678,5896,12685,12928,2640,2055,10596,13220,6315,5508,427,352,176,1105,4222,2439,1222,1913,1340,471
105923,21403,19419,24302,26967,6386,4986,33821,33260,5767,3148,6168,8665,16566,12254,10761,9180,6044,8151,11820,14732,2165,2051,18721,14895,5155,5834,5867,4674,13361,11954,9799,9423,13075,15125,3359,2156,7088,7113,7046,8038,1656,1734,14845,12752,10473,9677,14907,16074,8455,7961,21088,13738,6007,5546,17836,19088,22333,21740,10048,8751,16762,8378,8411,12902,8832,11700,22022,19547,8436,3779,7249,7172,7939,8510,2285,2188,8604,8273,1637,1287,15938,18958,6351,4204,32052,29491,3906,3765,21148,22501,14032,14148,5211,5959,986,1143,7862,5814,12624,13295,2293,1985,12337,13626,6416,5814,508,777,280,1257,3824,2348,1208,1874,1350,733
