,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
108222,71010,10666,5884,27265,9077,7741,7066,52675,29536,31015,10186,28925,22091,34497,9625,26661,18817,10675,16866,6760,11238,9989,22293,10295,38420,29588,8378,28063,58113,28835,28966,28076,1583,6012,4299,62731,12057,6456,20684,9644,9214,7755,59381,32541,21631,9145,23991,20774,33029,12501,18610,23247,14395,10296,6278,9864,9722,15628,9542,35423,33867,6352,27219,54733,27660,20129,19751,1998,4863,2691
108323,75282,11246,6184,29024,11648,8310,8657,52752,30630,29705,10369,28324,23370,33853,11273,25470,19659,11875,16536,5665,11266,10887,25520,11189,41585,30755,8637,28555,59266,28333,29786,29165,1418,6548,4372,64559,12283,6495,20861,13655,9669,9174,59600,34088,20994,10772,23123,20824,33712,13836,18786,24021,15370,10090,4311,9707,10269,16455,10006,36394,34783,6420,29667,55025,27738,21709,21264,1910,5081,3118
108525,73425,10676,5882,28234,10391,7047,8537,52347,30302,30840,10074,25850,22429,34047,10442,25675,19343,10775,16398,5900,11097,10318,22687,10727,39161,27843,7864,28060,60942,26603,29127,27708,1746,5212,3725,63529,12030,6373,20923,12825,8051,10050,60251,33571,20790,9924,22161,22432,33189,13489,17772,23763,15117,10053,5709,8572,10079,17469,9903,35541,34319,6182,29374,56444,28858,19333,20278,2787,4523,2604
108828,68766,10877,5283,28035,8212,8479,8454,51008,29776,29867,10171,28576,19282,33984,7673,25769,17212,12471,16406,6700,11388,10841,24928,10220,41479,32554,8341,27818,58881,31702,28448,28608,1501,5680,3853,62719,12118,6392,20086,10162,10068,8391,59193,34233,21392,9501,21865,19075,32675,10752,19588,22583,15691,10640,5673,10484,10433,18143,9740,36387,37228,6342,28940,50371,32282,21520,21956,1630,4770,2699
109123,71484,10802,5084,25634,9629,8327,7736,51162,29043,29890,9664,26754,21507,33453,8564,25322,19012,11326,16100,5879,10857,10651,23881,10015,37128,29270,7952,27134,54303,28551,28944,28550,814,4590,3909,62550,12121,6207,20749,9388,9066,7633,58961,34154,21231,9610,21742,19844,32638,12051,19112,23724,15222,9939,5522,8810,9940,15974,9337,33346,33262,6316,30103,53114,28660,19207,21002,1518,3314,2465
109830,74318,11320,5990,27738,11844,7628,8137,50953,29525,30027,9918,24244,18634,31935,7991,26419,18961,11521,17048,5450,11847,10208,25732,11395,40029,30531,8614,28740,58344,31314,31110,29403,1435,5926,4584,66259,12310,6496,19265,13941,10150,8193,59018,32375,22014,10497,20020,19562,33204,11885,20530,23520,14291,10662,4902,9768,10593,17442,9709,35064,35563,6510,29406,53263,32391,22804,20847,1824,4731,2848
110007,75049,11256,6171,29435,10403,8168,8705,52459,30794,29074,10442,24523,22160,34235,9113,26579,19633,13522,17573,5572,11893,10656,27523,11361,43293,32746,8820,29680,65953,34701,30602,30187,1621,5870,4499,65215,12519,6658,22302,12314,10100,8941,59172,36123,19100,10044,21480,21464,33481,12974,19077,24491,15957,11650,5202,10170,10586,17544,10131,36829,37392,6374,30923,58679,35651,22766,22069,1890,4555,3160
110411,72126,10858,5402,27040,10018,8125,8614,51748,27733,29063,9890,28611,22755,33818,9495,25989,19111,11131,15520,6500,11507,10528,21028,10970,38417,28824,8312,28161,56812,29332,29149,26565,1416,6568,4350,62594,12043,6272,21298,12339,9310,9423,59904,31288,19260,10229,21098,20952,32539,12336,19068,23314,14718,9983,5527,9764,10373,15948,9716,34778,34569,6398,28686,52468,28587,23112,18933,1449,4923,2955
110613,73419,11228,5866,26218,11099,7219,7558,50155,29493,29934,10132,22319,21679,33482,10702,25720,18988,9830,16479,5534,11240,10705,22963,11021,38601,28064,8402,27877,57451,28163,29233,28360,1578,6275,4226,65133,12084,6260,19776,13548,8617,8280,57351,34023,20012,10195,23674,21368,33143,13720,18658,23467,14264,9518,4895,9499,10534,15442,9622,34090,35487,6438,29279,53030,28492,18829,19272,1759,5296,2902
111009,71077,10937,5628,27153,7458,8231,7873,52207,29660,30616,9895,26692,20737,34093,8766,24872,19063,12742,17227,6423,11450,10447,25758,10028,41719,30801,8733,27939,61982,30759,29135,29624,1262,5509,4320,63253,12354,6595,21151,7808,9721,8493,59696,33969,20635,9331,22578,20821,33418,11420,17332,24306,15726,11335,6347,10945,9548,17609,9342,37105,34758,6352,30831,54233,32261,22125,21323,1605,4728,2996
